Conversation Number,Conversation
8776,"What do you think of the way people use and treat animals ? -- I think most people treat animals well , but we are often cruel to animals . When we raise animals for food , the conditions they live in are often poor . -- Perhaps people should stop eating animals . We could grow more crops . -- What would you do with all the animals ? You couldn ’ t just let them go . Besides , some people would still hunt them . Meat has become an integral part of our diet . -- We could provide them with better conditions anyway . We should certainly try to improve the conditions at zoos . We should try to recreate the natural conditions as much as possible . -- That ’ s true . I think zoo are a good idea , because they allow people to get close to animals . I think it ’ s good for kids to see wild animals . -- I agree . I ’ m an adult and I love going to the zoo . I don ’ t like animals experiments though . I believe that we can do tests in other ways . -- I read that the number of animals being used in experiments is falling dramatically as new techniques are being introduced . -- That ’ s good news . The good thing is that most people treat their pets well . -- Sometimes you read about people who have been cruel to pets or other animals , but those stories are rare . -- Have you every given money to any of the charities that take care of animals . -- Yes , I have . They do an excellent job . --"
8777,"What are the seasons like in your city ? -- Summers is hot and usually lasts a long time . Winters are short , but cold , wet , and windy . I love the summers in my city , but I hate the wintertime . -- Does it ever rain in summer ? -- We usually get a big thunderstorm every two weeks , but apart from that , summers are dry . Thunderstorms make the air fresh again , so most people don ’ t mind then . -- What are spring and autumn like ? -- I like spring because flowers bloom and trees grow leaves again . In spring , the weather is very changeable-sometimes cold , sometimes warm . It ’ s usually windy with some rain . Autumn is usually sunny an -- Well , I live in the southern hemisphere , so our summertime is your wintertime , and vice versa . We get some rain in every season , but most is in winter . In winter , it sometimes gets cold , but our wine -- Do you usually go on a summer holiday ? -- No , I don ’ t . I go on a winter holiday instead . I go somewhere warm . -- I usually go on holiday during the spring or the autumn . I try to go somewhere where the weather is more reliable than in my city . --"
8778,"There are so many environment problems in the world today . Do you think we can really solve them all or will destroy the world ? -- I hope that world leaders can get together and agree on a plan of action , but I doubt it ’ ll happen before it ’ s too late . -- We need to solve the problem of air pollution before we destroy the atmosphere . There ’ s lots of clean , modern technology , but companies in developed countries say it ’ s expensive . Developing countries -- Everyone is looking at the issue in the short term , rather than the long term . It ’ s the same with the destruction of the rainforests . Countries and companies just want the wood . They ’ re not thinking a -- In other parts of the world , especially in Africa , there is a problem with desertification . Climate change and over-farming are causing farmland to turn into desert . In means that people cannot grow e -- It also means that people sometimes fight over the farmland that remains . Damaging the environment actually leads to conflict between people . -- Have you ever thought about joining an organization committed to protecting the environment ? You could get involved with projects to improve the environment . -- I think I ’ d like to do that . I could take the things I learn here back to my country when I have finished my studies . --"
8779,"What do you do in summer ? -- I love going out into the countryside for walks or bike ride . I love being out in the fresh summer air . How about you ? -- I don ’ t often go for walks , but I either play sports outside-you know , tennis or badminton-or just sit in the sunshine and read a good book . -- What do you do in winter ? -- Well , I play sports indoors quite often . If I ’ m feeling lazy , I just watch a film at home . I prefer summer to winter . -- I think most people do . I like wearing nice , colorful clothes in summer-you know , a nice dress or skirt . It ’ s too cold for those kinds of clothes in winter . -- Yes . I like wearing shorts in summer . My legs would freeze ! -- Do you think we ’ ll have a nice summer this year ? -- Thanks to global warming , it could be hotter than ever ! --"
8780,"I was just watching a documentary on tv about people use dogs for various purpose . It was very interesting . -- I love dogs . They have been used as guards for centuries . Nowadays , they are often used to find illegal drugs and bombs by the police and customs officers . -- The documentary also pointed out that they are used by shepherds to round up sheep and by rescue workers to find people trapped under rubble or snow . -- Horses are useful to people too . We use them for sports and recreation . -- Don ’ t forget that horses are still used in many countries to pull ploughs and carts . -- Can you ride a horse ? -- Yes , I can . I don ’ t ride regularly though . How about you ? -- I can ride too . Perhaps we could go horse riding together at the weekend ? -- What a good idea ! --"
8781,"What's the weather like in your city ? -- In the summer it gets very hot.the temperature is often between 37 and 40 centigrade.when it is hot we often get rains.the winters are drier . -- The summer temperature usually often reaches about 20 or25 in my city.the rain falls mostly in the winter.and we often get snow . -- What are the temperatures in winter ? in my city it is about 15 or 20 degrees . -- In winter temperature often falls to zero at night temperature can be below that.the streets are often icing in the morning.with high such temperatures you must get some thunderstorms . -- Yeah , we do . in the middle of summer there can be thunderstorms every day usually in the afternoon . i heard your city has a lot of fog , is that true ? -- We do have a few foggy days in winter.but i would not say we have a lot of fogs.the sky are usually clearly over your city , are they ? -- Yes , they are . like i said we have thunderstorms.but each one usually only last a few hours.then the skys are clear again . -- Have you ever had snow in your city ? -- My grandmother said there was snow once when she was a child.but my parents and i only see it outside of our city . -- The river in my city sometime freeze over.people go ice-skating on it.on summer people go boating on the river.but few people go swimming because it is not very clean . -- As you know , my city is on the coast.the water is also not clean.but people still go swimming all year around . i prefer to sand bath on the beach when the weather is hot in sunny . --"
8782,"Both our countries are quite small . How would you describe the landscape in your country ? -- My country is well know for being very flat . There are some hills in the southeast of the country . -- Is it really completely flat ? -- Pretty much . The land rises and falls only a few meters . The southeast , the hills rise to a height of a few hundred meters . There are mountains over 1000 meters high in your country . -- Yes , there are . They are not very big compared with the mountains in other countries . -- The coast of your country is very varied . The coast of my country is just made up of sandy beaches . -- That doesn ’ t sound too bad . Great for sunbathing ! The coast of my country changes even within a few kilometers . There are cliffs , then sandy beaches . Then rocks . There are lots of caves in the cliffs . -- There are many lakes and rivers in your country too . We also have many rivers , but only a few lakes . -- We also have waterfalls in the mountains . They make the landscapes look very scenic . The landscape has been shapes by millions of years of erosion , especially by water . --"
8783,"Is there a lot of crime in your city ? -- There ’ s some , but I don ’ t think it ’ s a big problem . A lot of it is petty crime , burglary and car theft . There ’ s very little major crime . -- It ’ s the same in my city . We also have a lot of drug addicts . A lot of the crime is committed by drug addicts who need money for drugs . -- That happens in many places . In my city , there is a very good drug rehabilitation programme . The police and courts are also tough on people who commit crimes , but I don ’ t know if that ’ s the reason for -- Some people believe that a tough approach is better . Other prefer a more lenient approach . -- I think that the best way to reduce crime is to spread wealth more evenly . If most people have similar amounts of money , they will not think of stealing from others . -- That ’ s possible , but I ’ m not sure it would really happen like that . --"
8784,"Which countries have you been to ? -- I ’ Ve been to most of the countries in Europe , several countries in asia-china , Japan , korea , and Thailand-and to the united states and Canada . -- I thought you had been to Australia too . -- No , but I ’ m planning on visiting Australia and new Zealand soon . I ’ Ve heard that they are beautiful countries . Which is the most beautiful country you ’ Ve been to ? -- I think I ‘ d say norway . It has many picturesque fjords , waterfalls , and mountains . -- Isn ’ t it really cold there ? -- Well , the north of Norway is almost always cold , but further south it can be fairly warm in summer . It ’ s a wet country , so there ’ s snow almost everywhere in winter . -- I ’ Ve been to other Scandinavian countries , but not to Norway . Perhaps I should go and do some winter sports there . --"
8785,"When in Rome , do as the Romans do , they say . -- What do the Romans do ? -- They live in Rome , of course , and go to work by car or bus . But sometimes it takes too long that way because of the traffic jams , so they walk . -- In other words , the Romans do what everyone else does . -- Yes , but they do it differently . Everything is different . -- What do you mean ? -- Well , the climate's different for a start . It doesn't rain so much as it does in England . The sun shines more often . -- I envy them the sun . -- I know . You hate the rain , don't you ? -- I certainly do . -- And a Roman really Ioves life . Eye knows how to enjoy himself . -- They always eat spaghetti and drink wine , don't they ? -- Not always . But they like a good meal . Lots of tourists go to Rome just for the food , you know . -- Really ? How much does it cost to fly to Rome ? -- I don't know exactly , but it costs a lot of money . --"
8786,"Hello , Jim . Where are you going ? -- To the cinema . What about coming with me ? -- No , thanks . I'm going home . My wife's expecting me . -- What a pity . I believe it's a very good film . -- Do you go to the cinema a lot ? -- Once a week . Most nights I sit at home and watch telly -- Do you know what's on tonight by any chance ? -- No , I'm sorry I don't . I never read the papers till I get home . -- Oh , I see . By the way , where are you going for your holidays this year ? -- I don't know yet . My wife's going to her mother's for a couple of weeks . She Livesay the sea , you know . -- Oh , does she ? That's convenient . -- Yes , but I want to go to the country . -- Don't you like the sea ? -- Yes , very much . But I need peace and quiet when I'm on holiday . What are coughing to do ? -- I'm going to stay at home . -- Aren't you going to have a holiday abroad this year ? -- No , I want to buy a car , and that's going to take every penny I've got . --"
8787,"Let's play chess . -- I haven't played chess for a long time . -- That's all right , I'm a beginner . I've just learnt how to play . -- Look , there's a chessboard . Those two men have already finished playing . -- You're a very good player -- Not really , but once I won a prize . -- So did I . I won a prize last week but it was a prize for beginners . -- My prize was for the best player in the country . Now let's start playing chess seriously . --"
8788,"What was the party like last night , Jean ? -- Not bad at all , thanks . There were one or two interesting people there.Why couldn't you come ? -- Well , I couldn't get away from work early . And when . I got home I had a headache , so I had to go straight to bed . But I was over-tired , because I wasn't able to get to sleep for hours . -- What a shame . Why didn't you take a sleeping pill ? -- I don't like them . I used to take them when I had to work overtime , you know . -- How many did you use to take ? -- Three every night . -- Good heavens . Why did you take so many ? -- Because I was under a terrible strain . The doctor saidthey weren't very strong . Anyway , I used to feel awful the next morning . -- I'm sure you did . -- The doctor said I had to be careful . -- He was quite right . -- So I stopped drinking coffee late at night instead . --"
8789,"Wake up sleepyhead.The sun is beginning to shine . What a lovely summer day ! -- Yeah , clearly blue sky.But it is a bit too hot for me . I don't like heat and humidity . -- It's not that hot . It's cooler than yesterday . Let's go swimming ! -- That's a thought . It's still early , and the beach isn't crowded at this time of the day . If we don't stay too long , we won't get sunburned . -- Yeah , sounds like fun . I can wear my new pink bikini . -- There won't be anyone there to appreciate how cute you are . -- Who cares ! Well , the smart guys get there early . That's the kind of guy I want to meet . Let's go ! -- If you are going to husband hunting in a bikini , then I want to wear one , too . -- Ok , you could borrow one of mine . -- Thanks , how about the green and black one ? -- No problem . Here it is . --"
8790,"When was America discovered , Tony ? -- I'm not certain . Do you know ? -- America was discovered by Christopher Columbus in 1492 . -- In a way that's right . But the Vikings travelled there long beforeColumbus . And what about the Red Indians ? -- All right . Ask me a question now . -- Who invented the electric light bulb ? -- That's easy . It was invented by Edison . -- Correct . Now for a harder question . Who will be the first men on Mars ? -- I can't answer that . But I think Mars will be visited by men before theed of this century . -- Ask me a question now . -- All right . What is the nearest planet to the sun ? -- That's easy . It's .. er . Venus . NO . Pluto . No . Wait a minute . It's Anthe tip of my tongue . Oh dear , what is the nearest planet to the sun ? --"
8791,"It's a beautiful day , isn't it ? -- Yes , isn't it . -- Do you now the temperature today ? -- It's beautiful 75 degrees . -- How nice . I hope the weather will stay like this for the whole week . I'm going on the canoe trip this weekend . -- Not a good plan . The TV weather forecast says the hurricane is coming this weekend , and the temperature will also drop to 66 degrees . -- What a nuisance ! Every time I plan to go canoeing or camping , a storm comes along . The sky gets dark , the wind starts to howl and the temperature drops.Well , I'd better stay home . -- I never make any definite weekend plan until Friday morning . Then after listening to the weather temperature , I make my plans . -- That's smart . I'm going to start doing the same thing . --"
8792,"Where are you going for your holidays , Charles ? -- To Australia . I'm going to visit my uncle in Brisbane for three weeks . -- Good gracious ! You certainly are lucky . How are you going there ? -- By air , of course . It takes over two weeks to go by sea . -- I once went to Singapore by air . It was very exciting-but never again . -- Why ? Did you feel frightened ? -- For a short time . One of the engines caught fire . -- What did the pilot do ? -- He put it out and flew back to the airport . Then he asked the people at the airport where the emergency runway was . -- Did you land safely ? -- Yes , we did . But I shall never fly again . --"
8793,"We've got a new manager in our department . -- Oh ? You hoped to get that job , didn't you ? -- Yes , I did . -- I'm sorry . That's too bad . Who is it ? Who got the job , I mean ? -- Someone called Drexler . Carl Drexler . He's been with the company onlytwo years . I've been here longer . And I know more about the job , too -- Hmm . Why do you think they gave it to him and not to you ? -- Because I'm the wrong sex , of course ! -- You mean you didn't get the job because you're a woman ? -- Yes , that was probably it ! It isn't fair . -- What sort of clothes does he wear ? -- A dark suit . White shirt . A tie . Why ? -- Perhaps that had something to do with it . -- You mean you think I didn't get the job because I come to work in jeansand a sweater ? -- It's possible , isn't it ? -- Do you really think I should wear different clothes ? -- Well . . . perhaps you should think about it . -- Why should I wear a skirt ? Or a dress ? -- I'm not saying you should . I'm saying you should think about it . That's all ! -- Why should I do that ? I'm good at my job ! That's the only important thing ! -- Hmm . Perhaps it should be the only important thing . But it isn't . Not in this company . --"
8794,"I had broken up with him , how painful I feel . I ’ m going to drown my sorrows . -- I see . But Jane . He ’ s not worth your sorrow and you should restart your new life . --"
8795,"do you believe in UFO's ? -- sure . A UFO is just a space vehicle from another planet . If you think about it , our space shuttles are UFOs . -- I've never thought about it like that before . -- I've seen photos of UFOs in America before , but they've all looked doctored up . -- do you think that there's life on other planets ? -- I think there must be . -- why is that ? -- I don't't think it would make sense if we were the only beings in this whole world . The world is just far too big for that . -- do you think that there's intelligent life trying to contact us ? -- no , but we're trying to contact them . -- I suppose you're right . -- I think that countries are working hard to find a planet that we can live on in the future so that when global warming destroys this planet , humankind will not become extinct . -- do you really think that global warming Wil destroy Earth some day ? -- there's a lot of evidence that suggest it will , but I don't think it's going to happen any time soon . --"
8796,"You have drank dozens of cups . You are bound to get a bay window . -- Thank you , but I am in a terrible mood indeed . --"
8797,"I ’ m betting the New York Yankees win . How about you ? -- Well , I ’ m favor of the Red Sox . They ’ Ve had a good season . -- Sorry , guys . Could I just interrupt for a moment ? My money is on the Yankees ! -- That ’ s not a very good pick . I ’ m against the Yankees . -- Hey , Ken . Good luck if you already put your money on the Red Sox . -- Yeah , I ’ m with you on that . --"
8798,"what did you do over the weekend ? -- I went a global warming rally in London . It was fantastic to be around so many people who care about the environment . -- do you think there's anything we can do to reverse the damage that's been done already ? -- it might not be possible to fix the problems that we've created for ourselves , but there are lots of things we can do to prevent more damages from happening . -- like what ? -- well , we can use public transport instead of taking our cars for a start . -- what else can we do to protect the environment ? -- if you do have to drive , you should make sure that your car runs on unleaded petrol . Also , your home should use sources of renewable energy . -- how about recycling ? Does that actually help ? -- yes . You should take your glass , paper , plastic , cardboard , and tin cans to a recycling center . -- what do you think is the biggest worry for our future ? -- I think that the issue of greatest concern is having enough sources of clean water for everyone . -- I had no idea you were such as environmentalist before ! -- to be honest , in order for the earth to continue to be a habitable place , we're all going to have to become more interested in the environment . --"
8799,"Excuse me , what do you want for this bag ? -- Let me see . The one goes for $ 17 . -- Would you take $ 12 ? -- No , I can ’ t let you have it for 12.How about 14 ? -- 13.50 ? -- Sorry , $ 14 is the lowest I can go . --"
8800,"I have never experienced a roller coaster . I want you to sit beside me . -- Wait a moment , I want to go to the toilet . -- You try to put on a brave face . --"
8801,We have waited for a long time . When will we start ? -- Take it easy . I have to cut my losses . --
8802,"Nice dress . How do I look ? Be honest . -- Hmm ... you look too dressed up . How about this purple top and these jeans ? -- Well , that top is a little too tight , and those jeans aren ’ t dressy enough . And I don ’ t feel comfortable with that . What do you think , Vicky ? You ’ Ve been very quiet up to now . -- Be confident . Wear styles you ’ re going to be comfortable in . --"
8803,I am sorry . I ’ Ve left my disk at home . -- Thank you all the same . --
8804,I have failed in my final examination . What can I do now ? -- You have asked me several times about it . You are driving me up the wall . --
8805,Where is my contract ? -- It ’ s all my faults . I forget where I put it . --
8806,"You know them ? -- No , but those guys like to hit on me . --"
8807,"Mom , can you talk about the philosophy of life with me ? -- You got me on that one . --"
8808,"Look , Bob . This is a photograph I took during my trip to Australia . -- Let me see it , can I ? This is a good photograph . Who are these people ? -- They ’ re people I met during the trip . That ’ s the ship we traveled on . -- What a beautiful ship ! Who ’ s this ? -- That ’ s the man I told you about . Remember ? -- Ah yes . The one who offered you a job in Australia . -- That ’ s right . -- Who ’ s this ? -- Guess ! -- It ’ s not you , is it ? -- That ’ s right . I grew a beard during the trip , but I shaved it off when I came home . -- Why did you shave it off ? -- My wife didn ’ t like it ! --"
8809,"Hello , Ken . -- Hello , George . -- Have you just been to the cinema ? -- Yes , I have . -- What ’ s on ? -- Paris in the Spring . -- Oh , I ’ Ve already seen it . I saw it on television last year . It ’ s an old film , but it ’ s very good . -- Paris is a beautiful city . I have never been there . Have you ever been there , Ken ? -- Yes , I have . I was there in April . -- Paris in the spring , eh ? -- It was spring , but the weather was awful . It rained all the time . -- Just like dear old London ! --"
8810,Why don ’ t you introduce him ? I wonder if we will become good friends . -- He is the guy I was telling you about . --
8811,"Can you recognize that woman , Millie ? -- I think I can , Kate . It must be Karen Marsh , the actress . -- I thought so . Who ’ s that beside her ? -- That must be Conrad Reeves . -- Conrad Reeves , the actor ? It can ’ t be . Let me have another look . I think you ’ re right ! Isn ’ t he her third husband ? -- No , He must be her fourth or fifth . -- Doesn ’ t Karen Marsh look old ! -- She does , doesn ’ t she ! I read she ’ s twenty-nine , but she must be at least forty . -- I ’ m sure she is . -- She was a famous actress when I was still a schoolgirl . -- That was a long time ago , wasn ’ t it ? -- Not that long ago ! I ’ m not more than twenty-nine myself . --"
8812,"Do you like this dress , madam ? -- I like the colour very much . It's a lovely dress , but it's too small for me . -- What about this one ? It's a lovely dress . It's very smart . Short skirts are in fashion now . Would you like to try it ? -- All right . I'm afraid this green dress is too small for me as well . It's smaller than the blue one . I don't like the colour either . It doesn't suit me at all . I think the blue dress is prettier . Co -- I'm afraid I haven't got a larger dress . This is the largest dress in the shop . --"
8813,"Where do you come from ? -- I come from England . -- What's the climate like in your country ? -- It's mild , but it's not always pleasant.The weather's often cold in the North and windy in the East . It's often wet in the West and sometimes warm in the South . -- Which seasons do you like best ? -- I like spring and summer . The days are long and the nights are short . The sun rises early and sets late . I don't like autumn and winter . The days are short and the nights are long . The sun rises late --"
8814,"What seems to be the problem ? -- Your secretary seems to think she is being harassed . -- What ? You've got to be kidding me ! -- I wish I were , but i am deadly serious . She said you invited her to dinner last week . -- Of course I did . As recognition for a job well done . Once a month I invite the most productive employee to dinner . -- Well , there is no problem there . But she seemed to think that you were angry when she refused , and that your motives are personal and not professional . -- I think she's misinterpreted my intentions . What happens now ? -- Our harassment policy requires that we have a meeting with the HR manager and Miss Brown . It's quite serious . You could be reprimanded , or even fired if we find evidence that you were pressuring -- I understand that . But I hope that we can get to the bottom fo this and show Miss Brown that she misunderstood my reaction . -- That's the purpose of the meeting . Sometimes a mediated conversation will straighten things out , and a little discussion and apology can calm the waters . --"
8815,"I can't believe you wear jeans to the office ! Are you trying to lose your job ? -- Of course not . I'm just observing casual day . On Fridays , the company doesn't require us to wear formal business attire . -- Wow ! Nobody told me about that . Won't the relaxed dress code damage the company image ? -- We don't think so . Casual days are becoming more common , and we believe employees can maintain a professional image without wearing uncomfortable clothes . -- I guess it lets people express their individual tastes . But won't some people abuse it ? -- Not really . Besides , there is a separate dress code for casual day . People can't just wear whatever they want . -- It seems that a relaxed atmosphere could hinder productivity . -- Believe it or not , it has the opposite effect . Employees are actually more productive on casual days . --"
8816,"Where do you come from ? -- I come from Greece . -- What's the climate like in your country ? -- It's very pleasant . -- What's the weather like in spring ? -- It's often windy in March . It's always warm in April and May , but it rains sometimes . -- What's it like in summer ? -- It's always hot in June , July and August . The sun shines every day . -- Is it cold or warm in autumn ? -- It's always warm in September and October . It's often cold in November and it rains sometimes . -- Is it very cold in winter ? -- It's often cold in December , January and February . It snows sometimes . --"
8817,"Is my car ready yet ? -- I don't know , sir . What's the number of your car ? -- It's LF 312 G . -- When did you bring it to us ? -- I bought it here three days ago . -- Ah yes , I remember now . -- Have your mechanics finished yet ? -- No , they're still working on it . Let's go into the garage and have a look at it.Isn ' t that your car ? -- Well , it was my car . -- Didn't you have a crash ? -- That's right . I drove it into a lamp post . Can your mechanics repair it ? -- Well , they're trying to repair it , sir . But to tell you the truth , you need a new car . --"
8818,"Where are you going to spend your holidays this year , Harry ? -- We may go abroad . I ’ m not sure . My wife wants to go to Egypt . I ’ d like to go there , too . We can ’ t make up our minds . -- Will you travel by sea or by air ? -- We may travel by sea . -- It ’ s cheaper , isn ’ t it ? -- It may be cheaper , but it takes a long time . -- I ’ m sure you will enjoy yourselves . -- Don ’ t be so sure . We may not go anywhere . My wife always worries too much . Who ’ s going to look after the dog ? Who ’ s going to look after the house ? Who ’ s going to look after the garden ? We have t --"
8819,"I left a suitcase on the train to London the other day . -- Can you describe it , sir ? -- It's a small blue case and it's got a zip . There's a label on the handle with my name and address on it . -- Is this case yours ? -- No , that's not mine . -- What about this one ? This one's got a label . -- Let me see it . -- What's you name and address ? -- David Hall , 83 , Bridge Street . -- That's right . D.N.Hall . 83.Bridge Street . Three pound and fifty pence please . -- Here you are . -- Thank you . -- Hey ! -- What ’ s the matter ? -- This case doesn't belong to me ! You've given me the wrong case ! --"
8820,"Has Mien sold his house yet ? -- Yes , he has . He sold it last week . -- Has he moved to his new house yet ? -- No , not yet . He's still here . He's going to move tomorrow . -- When ? Tomorrow morning ? -- No . Tomorrow afternoon . I'll miss him . He has always been a good neighbour . -- He's a very nice person . We will all miss him . -- When will the new people move into this house ? -- I think that they will move in the day after tomorrow . -- Will you see Mien today , Janey ? -- Yes , I will . -- Please give him my regards . Poor Mien ! He didn't want to leave this house . -- No , he didn't want to leave , but his wife did ! --"
8821,"Shall I make some coffee , Jane ? -- That's a good idea , Charlotte . -- It's ready . Do you want any milk ? -- Just a little please . -- What about some sugar ? Two teaspoonfuls ? -- No , less than that . One and a half teaspoonfuls please . That's enough for me . That was very nice . -- Would you like some more ? -- Yes , please . I'd like a cigarette , too . May I have one ? -- Of course . I think there are a few in that box . -- I'm afraid it's empty . -- What a pity ! -- It doesn't matter . -- Have a biscuit instead . Eat more and smoke less ! -- That's very good advice ! --"
8822,"Can ’ t you come in and have tea now , Peter ? -- Not yet , I must water the garden first . -- Do you have to water it now ? -- I ’ m afraid I must . Look at it ! It ’ s terribly dry . -- What a nuisance ! -- Last summer it was very dry , too . Don ’ t you remember ? I had to water it every day . -- Well , I ’ ll have tea by myself . That was quick ! Have you finished already ? -- Yes , Look out of the window . -- It ’ s raining . That means you needn ’ t water the garden . -- That was a pleasant surprise . It means I can have tea , instead . --"
8823,"Are you doing the football pools , Brian ? -- Yes , I ’ Ve nearly finished , June . I ’ m sure we will win something this week . -- You always say that , but we never win anything ! What will you do if you win a lot of money ? -- If I win a lot of money , I shall buy you a mink coat . -- I don ’ t want a mink coat ! I want to see the world . -- All right . If we win a lot of money , we shall travel around the world and we shall stay at the best hotels . Then we will return home and buy a big house in the country . We will have a beautiful -- But if we spend all that money we shall be poor again . What will we do then ? -- If we spend all the money , we will try and win the football pools again . -- It ’ s a pleasant dream , but everything depends on if ! --"
8824,I think my car can run much faster than yours . -- But mine equals yours in economy . -- That's true . --
8825,"I hear Fred is a very good student in your class . -- Though he's not the one who can get the highest score , yet , on the whole , he is comparable to the best . -- What do you mean by on the whole . -- I mean he's a student developing all round . --"
8826,"What kind of life do you prefer , city life or country life ? -- In comparison to city life , the country life is quiet and peaceful . -- But it doesn't have all the modern convenience offered by the city . -- Yeah , I agree.Every wall has two sides . --"
8827,Who do you think is the greatest novelist in the history of English literature ? -- Charles Dickens.Actually no one can parallel him in writing . -- I'm afraid I can't agree with you on that . I like D.H.Laurence ' s novels better . --
8828,"Leo ! I wanted to tell you thanks for all your hard work on the budget . We ’ re having a get-together after work tonight at Carl ’ s Karaoke Club to celebrate having finished it . We ’ d love to see -- What fun ! Normally I ’ d love to , but I ’ m afraid I have to work late tonight . We ’ Ve got to get the contract ready for Miss King . -- Oh , right . You ’ re busy with that contract . Maybe you could join us later ? -- Unfortunately , I just can ’ t make it this time . I have to go straight home . It ’ s my second wedding anniversary , and we ’ re supposed to be having a big dinner Susan would kill me if I missed it . -- Happy anniversary ! Sorry you won ’ t be there . Maybe some other time ? -- Yeah , maybe . Thanks , anyway . Hope you guys have a great time ! --"
8829,"Mary ! I haven ’ t seen you since our dinner with Mr . Lee last week . Where have you been hiding yourself lately ? -- Oh , hi Mike . I ’ Ve been out of town the last few days . What did you need ? -- Really , nothing big . I just heard about your ideas on employee motivation and I wanted chat with you about a few things going on in my department . -- Well , feel free to drop by my office any time . The door ’ s always open . -- Actually , I was hoping to mix business with pleasure . Would you be interested in joining me for dinner some time this week ? I thought we might try out the new Italian restaurant everyone ’ s been -- Sure , Mike , I ’ d love to . -- Is this evening too soon ? -- No , that ’ s perfect . We can leave directly from here . --"
8830,"What do you think of the acting of the two main actors in the film ? -- I consider the hero's acting is inferior to that of the heroine's . don't you agree ? -- Well , I'm afraid not . I think the hero has much more to be believed in . --"
8831,"If one is rich , is the happy ? -- I don't think so.It ' s impossible to equate wealth and happiness . -- Could I understand what you said as the poorest is the happiest ? -- Of course not.Sometimes a poor man can be extremely miserable . --"
8832,Have you any idea of the prices of ruby and diamond ? -- I'm not very sure.but I know ruby is less valuable than diamond . -- How do you know that ? -- I got it from an encyclopedia . --
8833,"Honey , where did you buy this skirt ? -- In the market . Any problem ? -- Nothing . I am just checking . --"
8834,"Do you two know each other ? -- Yeah , we were classmates when I was in university . --"
8835,How you celebrate your Valentine ’ s Day with your wife ? -- I will take a rain check . --
8836,"May , I saw a beautiful cotton down coat in the shopping mail . -- Are you kidding ? It ’ s summer . --"
8837,"Daniel , you know ? Lisa has invited us to have dinner this afternoon . -- Really ? Let ’ s hit the road . --"
8838,Your boyfriend is so considerate to you . When do you plan to marry ? -- It ’ s still up in the air . There is something wrong between us . --
8839,How are you making out these days ? -- He is a dishonest man and always tells a cock and bull story . --
8840,How do we spend our holiday ? Do you have any good ideas ? -- Come over and chew the fat . We can enjoy to our hearts'content . --
8841,Could you please stop flipping the channels ? -- I ’ m very sorry . --
8842,"May , could you tell me how to solve this problem ? -- That ’ s a secret . I couldn ’ t tell you . -- Don ’ t give me your attitude . Please tell me . --"
8843,"Mom , when you come home , please buy a coat , a skirt , a sweater ... -- Enough is enough . I know . --"
8844,"May , look at this mess ! You threw waste everywhere . -- It ’ s not my fault . Daniel always sends things flying . --"
8845,Honey . The cottages harmonize well with the landscape.That tourist resort is worth travelling to . -- I ’ m so sorry that I have got to go . I have a business appointment right now . --
8846,"Once you arrive at the American airport , please call me . -- OK , don ’ t worry about it . I will . -- Take care of yourself . --"
8847,"When you told your mom you would be home around 2 am , She must have a cow ! -- You are right . My mum must be crazy . --"
8848,"Darling , the airplane is going to take off . I have to go . -- Take care ! I will miss you so much . --"
8849,"This is a precious opportunity for us and our company . -- You are right . We ’ re hoping that this is a long-term opportunity , and just a flash in the pan . --"
8850,Don ’ t throw your weight around . I can ’ t bear you any more . -- I dare you to say that again . --
8851,"Have you heard about John ’ s obscene words towards the manager ? -- Yes , but he should bush it off as if it were not a big deal to him . --"
8852,"May , my grandpa is ill . I will go to look after him . Catch you later ! -- OK . I will catch you later . --"
8853,"Oh , my God ! I feel nothing is going smooth . -- Take it easy . It ’ s no good worrying . You were on your last leg if you keep worrying in this way . --"
8854,It seems that many boys are fighting there . -- Break it up ! I will not permit fighting in this campus . --
8855,My God ! Why did you bring me here ? I hate the taste of coffee . -- Really ? I have a weakness for coffee . --
8856,What ’ s your attitude when do wrong things at work ? -- The buck stops here . --
8857,"I have lots of work to do . What ’ s more , my grandma is ill . -- I am sorry to hear that , but face the music . --"
8858,"I miss grandma . I dreamed about her yesterday . -- Dear , let ’ s drop the subject . --"
8859,I am so worried about this English contest . I have butterflies in my stomach now ! -- I have confidence in you . Believe in yourself . --
8860,"Could you do me a favour ? Please give me some confidential information . -- Don ’ t put me on the spot . You know , I can ’ t do that . --"
8861,"Honey , please forgive me . There is lots of work to do . So , I forget your birthday . -- I see.That ’ s all right . Don ’ t put the blame on yourself . --"
8862,Although you spare no effort to complete the project . I think you have missed the boat . -- I will not miss the boat when there is another opportunity again next time . --
8863,I ’ m deeply grateful for all you ’ Ve done . -- You ’ re welcome . I enjoyed helping you . --
8864,"Don't worry , your baby is in my home . -- How can I ever thank you ? I owe you a big favor . --"
8865,Why aren ’ t they are aware of the gravity of the situation ? -- Because they are rednecks . --
8866,I am sorry . I didn ’ t accomplish the job on time . -- That ’ s all right . Everyone feels under the weather sometimes . Just finish the rest when you feel well . --
8867,I will take part in the finals soon . -- Come on . I stand behind you . --
8868,I am sorry to make you run down to the office for me . -- No trouble . I enjoyed helping you . --
8869,Thank for your help . I owe you . -- No sweat ! Think nothing of it . --
8870,Thank you . You do me a big favor . -- That was a cake walk.It ’ s nothing to speak of . --
